time_step,true_pitch_deg,pred_pitch_deg,error
452,-31.403206,-33.05083,1.647625
453,-29.996721,-31.737171,1.7404499
454,-28.892252,-30.437902,1.5456505
455,-26.675602,-29.187332,2.5117302
456,-25.302427,-27.733864,2.4314365
457,-24.186953,-26.11363,1.9266777
458,-23.066803,-24.543613,1.4768105
459,-23.066803,-23.332176,0.26537323
460,-23.059488,-22.56799,-0.49149895
461,-23.066803,-22.123007,-0.94379616
462,-23.066803,-21.930021,-1.1367817
463,-23.066803,-21.825563,-1.2412395
464,-23.066803,-21.763655,-1.3031483
465,-23.066803,-21.722372,-1.3444309
466,-23.066803,-21.67286,-1.3939438
467,-23.059488,-21.623804,-1.4356842
468,-23.051918,-21.597103,-1.4548149
469,-23.032167,-21.659098,-1.3730698
470,-23.032167,-21.729221,-1.3029461
471,-21.908125,-21.668844,-0.2392807
472,-20.779778,-21.248396,0.4686184
473,-19.453161,-20.526821,1.0736599
474,-17.19852,-19.589815,2.3912945
475,-17.19852,-18.279997,1.0814762
476,-16.066011,-17.013966,0.9479542
477,-14.930318,-15.781359,0.85104084
478,-13.791652,-14.535315,0.74366283
479,-12.6502285,-13.299621,0.6493921
480,-10.257282,-12.10564,1.8483582
481,-7.9813185,-10.702565,2.7212467
482,-6.8408356,-9.043776,2.20294
483,-4.5559864,-7.2894664,2.73348
484,-2.2674644,-5.3626213,3.095157
485,0.022906858,-3.3237953,3.346702
486,1.168214,-1.1832281,2.351442
487,3.4579258,0.82118,2.636746
488,5.7449117,2.8076096,2.937302
489,10.30347,4.826331,5.4771385
490,13.816787,7.2666936,6.550093
491,16.09151,10.383165,5.7083454
492,18.353523,13.585824,4.7676992
493,19.479248,16.444513,3.0347347
494,19.479248,18.681715,0.79753304
495,20.80665,20.215057,0.5915928
496,21.935219,21.423155,0.512064
497,23.059488,22.502405,0.55708313
498,24.17927,23.566217,0.61305237
499,25.294376,24.602886,0.6914902
500,26.666916,25.608345,1.0585709
501,26.666916,26.691586,-0.024669647
502,27.782259,27.58568,0.19657898
503,28.892252,28.414394,0.4778576
504,29.996721,29.25979,0.73693085
505,30.2946,30.145748,0.1488514
506,31.403206,30.873983,0.5292225
507,31.403206,31.66531,-0.26210403
508,32.505806,32.34065,0.16515732
509,33.60224,33.043446,0.5587959
510,35.034946,33.82045,1.2144966
511,36.12789,34.677162,1.4507294
512,40.82498,35.62797,5.19701
513,75.25949,73.2556,2.003891
514,76.735504,73.91841,2.817093
515,78.3216,75.730484,2.5911179
516,79.34136,78.15643,1.1849289
517,80.93355,79.88186,1.0516891
518,82.51787,81.29501,1.2228546
519,85.62557,83.00587,2.6197052
520,63.84031,65.386024,-1.5457153
521,62.272602,63.907192,-1.6345901
522,61.293026,62.526726,-1.2336998
523,58.73692,61.301846,-2.5649261
524,57.18217,59.99241,-2.810238
525,56.174656,58.63921,-2.4645538
526,54.6289,57.37685,-2.7479515
527,53.608894,56.155697,-2.5468025
528,52.07375,55.104008,-3.0302582
529,51.042294,54.101627,-3.0593338
530,49.519333,53.182076,-3.6627426
531,49.519333,52.207882,-2.688549
532,47.42701,51.431232,-4.004223
533,46.968243,50.931416,-3.963173
534,45.939514,51.113075,-5.173561
