time_step,true_roll_deg,pred_roll_deg,error
629,1.0708245,8.640007,-7.5691824
630,1.0511807,9.049477,-7.998296
631,2.2202957,9.23951,-7.0192137
632,2.349157,9.713066,-7.363909
633,2.361866,8.989365,-6.6274986
634,2.376702,9.057442,-6.6807394
635,2.4198565,9.146751,-6.726895
636,2.450731,8.8628845,-6.4121532
637,2.5163062,8.38855,-5.872244
638,1.2880825,8.040703,-6.75262
639,1.304577,7.496315,-6.191738
640,2.699291,7.131935,-4.432644
641,1.3903295,7.5638123,-6.173483
642,1.4024554,7.6361237,-6.2336683
643,1.4492304,7.679779,-6.230549
644,1.5798135,7.771744,-6.1919303
645,1.5999266,8.013756,-6.4138293
646,1.6729368,8.32975,-6.656813
647,1.7566253,8.709381,-6.952756
648,1.853381,9.112068,-7.258687
649,1.9287207,9.593254,-7.6645336
650,2.054787,9.987091,-7.9323044
651,2.1539145,10.260605,-8.10669
652,2.3871267,10.356102,-7.968975
653,2.702803,10.429398,-7.726595
654,2.7951927,10.030258,-7.2350655
655,3.0118108,9.49334,-6.4815288
656,3.271654,8.645752,-5.374098
657,3.4191337,7.97628,-4.5571465
658,3.5890787,7.425255,-3.8361762
659,3.985583,7.1079254,-3.1223423
660,4.220421,7.175514,-2.9550934
661,4.4948654,7.4744644,-2.979599
662,4.805052,7.8713684,-3.0663166
663,5.6007752,8.411629,-2.8108535
664,6.746538,9.471611,-2.7250729
665,6.746538,11.320984,-4.5744457
666,7.528501,12.410126,-4.8816247
667,8.5364485,13.11599,-4.579541
668,9.865807,13.367439,-3.5016327
669,11.716279,13.533485,-1.8172064
670,11.716279,14.35939,-2.6431112
671,11.716279,14.6912155,-2.9749365
672,11.716279,14.677994,-2.9617147
673,11.716279,14.532242,-2.8159628
674,11.716279,14.384132,-2.6678534
675,11.716279,14.281807,-2.565528
676,11.716279,14.257744,-2.5414648
677,11.716279,14.282051,-2.565772
678,9.865807,14.330231,-4.464424
679,11.716279,13.197166,-1.4808874
680,11.716279,13.445908,-1.7296286
681,11.716279,13.915169,-2.1988897
682,11.716279,14.356789,-2.6405096
683,11.716279,14.702011,-2.985732
684,11.716279,14.961708,-3.245429
685,11.716279,15.185272,-3.4689932
686,11.716279,15.346115,-3.629836
687,9.865807,15.534622,-5.6688156
688,0.0,14.54438,-14.54438
689,9.865807,8.187767,1.6780396
690,9.865807,12.356613,-2.4908066
691,11.716279,20.15197,-8.435691
692,14.439728,29.762753,-15.323025
693,26.968536,40.94311,-13.974575
694,90.40349,60.793106,29.610382
695,161.9714,103.32703,58.64438
696,169.09642,150.32166,18.774765
697,172.27625,179.34415,-7.0679016
698,174.06616,188.5864,-14.520233
699,175.21191,188.98096,-13.769043
700,176.00764,186.7724,-10.764755
701,176.59227,184.14572,-7.5534515
702,177.03989,181.83517,-4.795288
703,177.22942,180.0817,-2.8522797
704,177.80669,178.9397,-1.1330109
705,175.23636,178.22513,-2.9887695
706,178.12158,178.36264,-0.24105835
707,178.29109,178.13718,0.1539154
708,178.50603,178.02649,0.47953796
709,178.62527,178.05228,0.57299805
710,176.53177,178.13564,-1.6038666
711,176.7295,178.44016,-1.7106476
712,176.82018,178.54349,-1.7233124
713,176.90594,178.43411,-1.5281677
714,176.98721,178.17882,-1.1916046
715,176.98721,177.89502,-0.9078064
716,176.98721,177.65384,-0.666626
717,176.98721,177.48907,-0.5018616
718,176.98721,177.39842,-0.4112091
719,178.07127,177.36905,0.70222473
720,176.98721,177.26033,-0.27311707
721,178.07127,177.48248,0.5887909
722,178.07127,177.45442,0.6168518
723,178.07127,177.52081,0.5504608
724,178.07127,177.62979,0.44148254
725,178.07127,177.73389,0.33738708
726,178.07127,177.80487,0.2664032
727,178.07127,177.84767,0.2236023
728,178.07127,177.87167,0.19960022
729,178.07127,177.88066,0.1906128
730,178.07127,177.88696,0.18431091
731,178.03363,177.89471,0.13891602
732,178.03363,177.86882,0.16481018
733,178.03363,177.84474,0.18888855
734,178.03363,177.83252,0.20111084
735,178.03363,177.825,0.20863342
