time_step,true_roll_deg,pred_roll_deg,error
552,174.28941,172.90811,1.3813019
553,174.55966,173.30005,1.259613
554,174.80557,173.75314,1.0524292
555,174.80557,174.41086,0.39471436
556,174.80557,175.1779,-0.3723297
557,175.23636,175.88922,-0.65286255
558,175.76361,176.57843,-0.81481934
559,176.05481,177.23167,-1.1768646
560,176.18593,177.7699,-1.5839691
561,176.42366,178.15752,-1.7338562
562,176.53177,178.52078,-1.9890137
563,176.63354,178.71283,-2.0792847
564,176.63354,178.82141,-2.1878662
565,176.63354,178.8656,-2.2320557
566,176.7295,178.89252,-2.1630096
567,176.7295,178.99228,-2.2627716
568,176.7295,179.10214,-2.372635
569,176.7295,179.19539,-2.4658813
570,176.7295,179.26596,-2.5364532
571,176.82018,179.3134,-2.493225
572,176.82018,179.41167,-2.5914917
573,176.90594,179.48524,-2.5793
574,176.90594,179.59267,-2.6867218
575,176.90594,179.66196,-2.756012
576,176.98721,179.68372,-2.6965027
577,176.98721,179.73367,-2.74646
578,176.98721,179.75273,-2.7655182
579,176.98721,179.743,-2.755783
580,177.13759,179.69746,-2.5598755
581,177.13759,179.74478,-2.607193
582,177.13759,179.76343,-2.6258392
583,177.13759,179.73582,-2.598236
584,177.20729,179.65585,-2.4485626
585,177.20729,179.60687,-2.399582
586,177.20729,179.55115,-2.3438568
587,177.20729,179.46216,-2.2548676
588,175.39069,179.3566,-3.9659119
589,175.58469,178.53162,-2.94693
590,175.58469,177.92996,-2.3452759
591,175.58469,177.52515,-1.9404602
592,177.337,177.23454,0.10246277
593,177.39743,177.70718,-0.30975342
594,177.39743,178.16504,-0.76760864
595,177.39743,178.41309,-1.0156555
596,177.39743,178.5903,-1.1928711
597,177.39743,178.70384,-1.3064117
598,177.51045,178.74802,-1.2375641
599,177.66269,178.77155,-1.1088562
600,177.66269,178.85011,-1.1874237
601,177.7094,178.82742,-1.1180267
602,177.79741,178.75418,-0.95677185
603,177.83891,178.70361,-0.8647003
604,177.8789,178.65028,-0.77137756
605,177.91743,178.58768,-0.6702423
606,177.95459,178.48802,-0.533432
607,177.99045,178.375,-0.384552
608,178.05852,178.27136,-0.21284485
609,178.09085,178.19998,-0.10913086
610,177.19568,178.20078,-1.0050964
611,176.7333,178.65903,-1.9257202
612,176.82256,178.10239,-1.2798309
613,177.32095,177.62643,-0.30548096
614,177.39127,178.19662,-0.8053589
615,177.42422,178.72708,-1.3028564
616,177.46967,179.01077,-1.5411072
617,177.497,179.10117,-1.6041718
618,177.54927,179.08858,-1.5393066
619,177.33556,179.05826,-1.722702
620,177.58923,178.332,-0.74276733
621,177.45201,178.49435,-1.0423431
622,178.66779,178.02469,0.6430969
623,178.68309,177.81644,0.86665344
624,178.71268,177.71498,0.9976959
625,177.68977,177.66064,0.029129028
626,177.6972,178.17767,-0.48046875
627,177.7048,178.54031,-0.83551025
628,177.70757,179.54178,-1.8342133
629,177.70848,179.51318,-1.8047028
630,177.70757,179.21178,-1.5042114
631,177.7048,179.07272,-1.3679199
632,177.7002,179.07162,-1.3714294
633,178.84848,179.10994,-0.26145935
634,178.84477,179.15881,-0.31404114
635,178.82529,179.18825,-0.36296082
636,178.81894,179.18936,-0.37042236
637,178.81151,179.2519,-0.44039917
638,178.78508,179.38412,-0.5990448
639,178.77448,179.62593,-0.8514557
640,178.76869,179.90945,-1.1407623
641,178.75464,180.11554,-1.3609009
642,178.74832,180.23479,-1.4864655
643,178.74167,179.25969,-0.51802063
644,178.73465,178.20026,0.5343933
645,178.73465,177.51071,1.223938
646,178.73465,177.33194,1.40271
647,178.73465,177.33862,1.3960266
648,178.73465,177.43686,1.2977905
649,178.73465,177.57191,1.162735
650,178.73465,177.71066,1.0239868
651,178.73465,177.83334,0.90130615
652,178.73465,177.93083,0.80381775
653,178.73465,178.0016,0.7330475
654,178.73465,178.04886,0.685791
655,178.73465,178.07782,0.65682983
656,177.337,178.09396,-0.756958
657,177.20729,179.41887,-2.2115784
658,177.13759,179.86688,-2.7292938
659,176.98721,179.47162,-2.4844055
660,176.7295,178.66943,-1.9399261
661,176.53177,177.81082,-1.2790527
662,176.18593,177.01073,-0.8247986
663,175.91438,176.31519,-0.4008026
664,175.76361,175.67792,0.08569336
665,175.23636,175.07025,0.16610718
666,174.80557,174.46848,0.33709717
667,174.28941,173.79883,0.49058533
668,173.29016,173.01964,0.27052307
669,168.28372,172.03079,-3.7470703
670,165.5545,169.9958,-4.4412994
671,161.1587,165.48708,-4.328369
672,158.1986,156.84615,1.3524475
673,153.43495,143.76761,9.667343
674,135.0,126.721695,8.278305
675,63.434948,97.75096,-34.316013
676,33.690067,59.852684,-26.162617
677,21.801409,34.777683,-12.9762745
678,15.945395,18.676155,-2.7307596
679,12.528808,10.146957,2.3818502
680,9.462322,6.7132034,2.7491188
681,8.130102,5.78109,2.3490124
682,7.125016,5.986618,1.1383982
683,6.340192,6.5357513,-0.1955595
684,5.710593,7.05838,-1.3477869
685,5.194429,7.3945923,-2.2001634
686,4.573921,7.6427917,-3.0688705
687,4.236395,7.778549,-3.5421543
688,4.0856166,7.793083,-3.7074666
689,4.236395,7.710129,-3.473734
690,4.0856166,7.5734787,-3.487862
691,4.0856166,7.3814774,-3.2958608
692,4.0856166,7.191696,-3.1060796
693,4.0856166,7.0098267,-2.92421
694,4.0856166,6.831299,-2.7456822
695,3.9451861,6.701996,-2.7568097
696,3.9451861,6.605919,-2.6607327
697,5.4939485,6.531143,-1.0371947
698,5.2954135,6.474785,-1.1793714
699,5.2954135,6.3874817,-1.0920682
700,3.8140748,6.2713623,-2.4572875
701,3.8140748,6.1032257,-2.289151
702,3.5763345,6.0369873,-2.4606528
703,3.5763345,6.0466003,-2.4702659
704,3.5763345,6.0951767,-2.5188422
705,3.5763345,6.1420364,-2.565702
706,3.5763345,6.172394,-2.5960593
707,4.776219,6.176964,-1.4007449
708,4.776219,6.150421,-1.3742023
709,4.776219,6.0817795,-1.3055606
710,4.776219,5.998657,-1.2224383
711,3.3664606,5.9240646,-2.557604
712,4.6272717,5.804207,-1.1769352
713,4.4808826,5.8116837,-1.330801
714,4.4808826,5.803032,-1.3221493
715,4.4808826,5.7826767,-1.301794
716,4.4808826,5.764984,-1.2841015
717,4.3423567,5.7572784,-1.4149218
718,4.3423567,5.9053802,-1.5630236
719,4.2172537,6.6362534,-2.4189997
720,4.2172537,7.377823,-3.1605692
721,4.2172537,7.753166,-3.5359125
722,4.0927033,7.7135773,-3.620874
723,4.0927033,7.3949203,-3.302217
724,4.0927033,6.951576,-2.858873
